sale_id,product,category,price,quantity,total,date,store,city,has_anomaly,anomaly_types,anomaly_flags,anomaly_severity,anomaly_score,empty_count,severity_weight,anomaly,anomaly_method,anomaly_confidence
0.0,Pasta,,3.02,-1.0,-3.02,2024-05-02,Carrefour,Tunis,True,category_null|quantity_negative|order_no_items|product_category_mismatch|,7,high,38.46153846153846,1,50,-1,ensemble,1
1.0,Apple,,45.97,15.0,689.55,,Aziza,Ariana,True,category_null|date_null|product_category_mismatch|exact_duplicate_row|quantity_statistical_outlier|,7,medium,25.96153846153846,2,25,-1,ensemble,2
,Apple,,6.65,0.0,error,,Aziza,Tunis,True,sale_id_null|category_null|date_null|total_not_numeric|quantity_zero|order_no_items|product_category_mismatch|,10,high,44.23076923076923,3,50,-1,ensemble,1
3.0,Banana,Fruits,38.41,14.0,537.74,,Aziza,Sousse,True,date_null|product_category_mismatch|quantity_statistical_outlier|,4,high,32.69230769230769,1,50,-1,ensemble,1
4.0,Chicken,Dairy,3.95,21.0,-82.95,,MG,Ariana,True,date_null|total_price_mismatch|product_category_mismatch|quantity_statistical_outlier|,7,high,38.46153846153846,1,50,-1,ensemble,2
5.0,Juice,Dairy,5.25,0.0,error,,,Sousse,True,date_null|store_null|total_not_numeric|quantity_zero|order_no_items|product_category_mismatch|,9,high,42.30769230769231,2,50,-1,ensemble,1
6.0,Eggs,Dairy,14.07,0.0,error,,Carrefour,Sousse,True,date_null|total_not_numeric|quantity_zero|order_no_items|,6,high,36.53846153846154,1,50,-1,ensemble,1
7.0,Milk,,47.2,11.0,519.2,,Carrefour,Ariana,True,category_null|date_null|product_category_mismatch|quantity_statistical_outlier|,5,high,34.61538461538461,2,50,-1,ensemble,2
8.0,Apple,Dry,8.22,0.0,,,,Sfax,True,total_null|date_null|store_null|quantity_zero|order_no_items|product_category_mismatch|,8,high,40.38461538461539,3,50,-1,ensemble,1
9.0,Juice,Fruits,42.44,0.0,error,,Monoprix,Sfax,True,date_null|total_not_numeric|quantity_zero|order_no_items|product_category_mismatch|,8,high,40.38461538461539,1,50,-1,ensemble,1
,Juice,Dairy,5.13,0.0,error,,Aziza,Sousse,True,sale_id_null|date_null|total_not_numeric|quantity_zero|order_no_items|product_category_mismatch|,9,high,42.30769230769231,2,50,-1,ensemble,1
11.0,Banana,Fruits,37.85,3.0,113.55000000000001,,,Sfax,True,date_null|store_null|product_category_mismatch|,4,high,32.69230769230769,2,50,-1,ensemble,1
12.0,Apple,Dairy,14.76,27.0,398.52,,Monoprix,Ariana,True,date_null|product_category_mismatch|quantity_statistical_outlier|,4,high,32.69230769230769,1,50,-1,ensemble,2
13.0,Eggs,Fruits,5.63,0.0,,,Monoprix,Sfax,True,total_null|date_null|quantity_zero|order_no_items|product_category_mismatch|exact_duplicate_row|,9,medium,29.807692307692307,2,25,-1,ensemble,1
,Pasta,,21.95,0.0,-100,,Carrefour,Ariana,True,sale_id_null|category_null|date_null|quantity_zero|total_price_mismatch|order_no_items|product_category_mismatch|,11,high,46.15384615384615,3,50,-1,ensemble,1
15.0,Juice,,30.28,0.0,-100,,Carrefour,Sfax,True,category_null|date_null|quantity_zero|total_price_mismatch|order_no_items|product_category_mismatch|,10,high,44.23076923076923,2,50,-1,ensemble,1
16.0,Milk,,16.31,0.0,0.0,,MG,Sousse,True,category_null|date_null|quantity_zero|order_no_items|product_category_mismatch|,7,high,38.46153846153846,2,50,-1,ensemble,1
17.0,Rice,Meat,28.72,0.0,-100,,Aziza,Tunis,True,date_null|quantity_zero|total_price_mismatch|order_no_items|product_category_mismatch|,9,high,42.30769230769231,1,50,-1,ensemble,1
18.0,Eggs,,46.58,0.0,error,,Carrefour,Sfax,True,category_null|date_null|total_not_numeric|quantity_zero|order_no_items|product_category_mismatch|,9,high,42.30769230769231,2,50,-1,ensemble,1
19.0,Apple,Dry,0.04,0.0,-100,,Carrefour,Ariana,True,date_null|quantity_zero|total_price_mismatch|order_no_items|product_category_mismatch|,9,high,42.30769230769231,1,50,-1,ensemble,1
20.0,Juice,Dry,34.98,0.0,error,,Carrefour,Sfax,True,date_null|total_not_numeric|quantity_zero|order_no_items|product_category_mismatch|exact_duplicate_row|,10,medium,31.730769230769234,1,25,-1,ensemble,1
21.0,Eggs,Fruits,42.79,0.0,error,,MG,Ariana,True,date_null|total_not_numeric|quantity_zero|order_no_items|product_category_mismatch|,8,high,40.38461538461539,1,50,-1,ensemble,1
22.0,Bread,Fruits,47.82,0.0,-100,,Aziza,Ariana,True,date_null|quantity_zero|total_price_mismatch|order_no_items|product_category_mismatch|,9,high,42.30769230769231,1,50,-1,ensemble,1
23.0,Pasta,Fruits,6.93,0.0,,,,Tunis,True,total_null|date_null|store_null|quantity_zero|order_no_items|product_category_mismatch|,8,high,40.38461538461539,3,50,-1,ensemble,1
24.0,Banana,,29.57,10.0,295.7,,MG,Tunis,True,category_null|date_null|product_category_mismatch|,4,high,32.69230769230769,2,50,-1,ensemble,1
25.0,Milk,,41.09,0.0,,,Aziza,Sfax,True,category_null|total_null|date_null|quantity_zero|order_no_items|product_category_mismatch|,8,high,40.38461538461539,3,50,-1,ensemble,1
26.0,Juice,Fruits,48.15,20.0,963.0,,MG,Ariana,True,date_null|product_category_mismatch|quantity_statistical_outlier|total_statistical_outlier|,5,high,34.61538461538461,1,50,-1,ensemble,2
27.0,Rice,,1.43,27.0,-38.61,,,Ariana,True,category_null|date_null|store_null|total_price_mismatch|product_category_mismatch|quantity_statistical_outlier|,9,high,42.30769230769231,3,50,-1,ensemble,2
28.0,Apple,,1.8,30.0,-54.0,,,Sousse,True,category_null|date_null|store_null|total_price_mismatch|product_category_mismatch|quantity_statistical_outlier|unusual_quantity_spike|,10,high,44.23076923076923,3,50,-1,ensemble,2
29.0,Chicken,Fruits,28.79,0.0,-100,2024-05-10,,Sfax,True,store_null|quantity_zero|total_price_mismatch|order_no_items|product_category_mismatch|,9,high,42.30769230769231,1,50,-1,ensemble,1
30.0,Apple,Dairy,1.5,0.0,error,,Aziza,Tunis,True,date_null|total_not_numeric|quantity_zero|order_no_items|product_category_mismatch|,8,high,40.38461538461539,1,50,-1,ensemble,1
31.0,Apple,Dairy,30.23,0.0,,,,Sousse,True,total_null|date_null|store_null|quantity_zero|order_no_items|product_category_mismatch|,8,high,40.38461538461539,3,50,-1,ensemble,1
32.0,Chicken,Meat,16.78,-2.0,-33.56,,Aziza,Ariana,True,date_null|quantity_negative|order_no_items|,5,high,34.61538461538461,1,50,-1,ensemble,1
33.0,Eggs,Dry,3.55,0.0,-100,,Carrefour,Sousse,True,date_null|quantity_zero|total_price_mismatch|order_no_items|product_category_mismatch|,9,high,42.30769230769231,1,50,-1,ensemble,1
