sale_id,product,category,price,quantity,total,date,store,city
0.0,Pasta,,3.02,-1,-3.02,05/02/2024,Carrefour,Tunis
1.0,Apple,,45.97,15,689.55,2023-13-01,Aziza,Ariana
,Apple,,6.65,,error,2024-09-16,Aziza,Tunis
3.0,Banana,Fruits,38.41,14,537.74,2024-08-10,Aziza,Sousse
4.0,Chicken,Dairy,-3.95,21,-82.95,2024-02-19,MG,Ariana
5.0,Juice,Dairy,5.25,,error,23/03/2022,,Sousse
6.0,Eggs,Dairy,14.07,,error,2023-13-01,Carrefour,Sousse
7.0,Milk,,47.2,11,519.2,15/03/2024,Carrefour,Ariana
8.0,Apple,Dry,8.22,,,,,Sfax
9.0,Juice,Fruits,42.44,ten,error,,Monoprix,Sfax
,Juice,Dairy,5.13,ten,error,,Aziza,Sousse
11.0,Banana,Fruits,37.85,3,113.55000000000001,2023-13-01,,Sfax
12.0,Apple,Dairy,14.76,27,398.52,2023-13-01,Monoprix,Ariana
13.0,Eggs,Fruits,5.63,,,,Monoprix,Sfax
,Pasta,,21.95,,-100,,Carrefour,Ariana
15.0,Juice,,30.28,ten,-100,,Carrefour,Sfax
16.0,Milk,,16.31,0,0.0,,MG,Sousse
17.0,Rice,Meat,28.72,ten,-100,,Aziza,Tunis
18.0,Eggs,,46.58,,error,,Carrefour,Sfax
19.0,Apple,Dry,-0.04,ten,-100,2022-12-02,Carrefour,Ariana
20.0,Juice,Dry,34.98,ten,error,,Carrefour,Sfax
21.0,Eggs,Fruits,42.79,ten,error,2023-13-01,MG,Ariana
22.0,Bread,Fruits,47.82,ten,-100,,Aziza,Ariana
23.0,Pasta,Fruits,6.93,,,2024-04-19,,Tunis
24.0,Banana,,29.57,10,295.7,2023-01-14,MG,Tunis
25.0,Milk,,41.09,,,2022-06-29,Aziza,Sfax
26.0,Juice,Fruits,48.15,20,963.0,2023-13-01,MG,Ariana
27.0,Rice,,-1.43,27,-38.61,2023-13-01,,Ariana
28.0,Apple,,-1.8,30,-54.0,,,Sousse
29.0,Chicken,Fruits,28.79,ten,-100,05/10/2024,,Sfax
