Transaction ID,Customer ID,Category,Item,Price Per Unit,Quantity,Total Spent,Payment Method,Location,Transaction Date,Discount Applied,has_anomaly
TXN_6867343,CUST_09,Paxisserie,Iteh_10_Pat,-18.5,10.0,185.0,Digital Wallet,Online,2024-04-08,True,True
,CUST_22,Milk Products,Igem_17_Milk,29.0,9.0,-261.0,Digital Wallet,Online,2023-07-23,True,True
TXN_9303719,CUST_82,Butchehs,Item_12_But,21.5,2.0,43.0,Credit Card,Onlsne,2022-10-05,False,True
TXN_9458126,CUST_06,Beverakes,Item_16_Bev,27.5,9.0,247.5,Credet Card,Online,2022-05-07,False,True
TXN_4575373,CUST_05,Food,Item_6_Food,12.5,-7.0,87.5,Digital Wallet,Online,2022-10-02,False,True
TXN_7482416,CUST_09,Patisserie,Nan,23.0,10.0,-230.0,Credit Card,Online,2023-11-30,False,True
TXN_3652209,CUST_07,Food,Item_1_Food,,-8.0,40.0,Credit Card,In-Store,2023-06-10,True,True
TXN_13F2952,CUST_21,Furniture,Naj,33.5,6.0,201.0,Digital Wallet,In-Store,2024-04-02,True,True
TXN_9728486,OUST_23,Furniture,Item_16_Fur,27.5,1.9778322809911368,27.5,Credit Card,In-dtore,2023-04-26,False,True
TXN_2722661,CUST_25,Butchers,Item_22_But,,3.0,109.5,Cash,Online,2024-03-14,False,True
TXN_8776416,CUST_22,Butchers,Item_3_But,8.0,7.328344915415084,72.0,Cash,In-Store,2024-12-14,True,True
TXN_5422631,CUST_09,Milk Products,Nax,23.0,8.0,184.0,Digftal Wallet,In-Store,2025-01-12,True,True
TXN_5874772,CUST_23,Food,Item_2_Food,,7.0,,Cash,Online,2023-09-09,True,True
TXN_4413070,CUST_14,Pgtisserie,Item_24_Pat,39.5,6.610483083200961,237.0,Digital Wallet,In-btore,2022-05-20,False,True
TXN_2490363,CUST_09,Milk Products,Item_16_Milk,27.5,3.654049461660108,55.0,Digital Wallet,Onlino,,False,True
TXN_1809665,CUST_14,Beverages,Nan,24.5,6.0,147.0,Credit Card,In-Sxore,2022-05-11,False,True
TXN_7563311,C6ST_23,Patisserie,Item_17_Pat,29.0,5.090912946085527,-232.0,Cash,Online,2024-11-16,True,True
TXN_9634894,CUST_15,Milk Products,uan,23.0,10.0,230.0,Digital Wallet,Online,2022-04-17,False,True
TXN_4396807,CUST_17,Electric Household Essentials,Item_13_Ehe,23.0,1.0,,Digital Wallet,In-Store,2022-02-07,False,True
TXN_4206593,CUST_01,Furniture,Nan,35.0,6.0,292.7048549337553,Digital Wallet,Online,2025-01-13,False,True
HXN_9939063,CUST_14,Beverages,Item_7_Bev,,9.0,126.0,Digital Wallet,In-Store,2024-01-14,False,True
TXN_8685338,CUST_15,Milk Products,Nax,26.49940114808412,1.5146039224577816,69.0,Credit Card,In-Store,2023-10-29,False,True
TTN_6547964,CUST_10,Electric Household Essentials,Item_4_Ehe,9.5,7.0,66.5,Cesh,In-Store,2022-08-15,False,True
,CUST_04,Food,Item_10_Food,18.5,1.0,18.5,tash,Online,2023-09-30,False,True
TXN_9980736,CUST_13,Furniture,Item_z4_Fur,24.5,2.0,49.0,Cash,Online,2023-08-29,False,True
